# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
92	13	0.04%	Regulator of RpoS	—	—	—
93	13	0.04%	D-aminopeptidase	—	—	—
94	13	0.04%	Putative aliphatic sulfonates transport permease protein SsuC	—	—	—
95	13	0.04%	Succinate--glutarate CoA-transferase	—	—	—
96	13	0.04%	Feruloyl-CoA synthase	—	—	—
97	12	0.03%	putative ABC transporter ATP-binding protein YknY	—	—	—
98	12	0.03%	Aminomethyltransferase	—	—	—
99	12	0.03%	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	—	—	—
100	12	0.03%	Sulfoquinovosyl glycerol transport system permease protein SmoH	—	—	—

# Feature type summary
feature_type	count
CDS	35219
tRNA	347
rRNA	7
tmRNA	3
