# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
24	23	0.07%	Oligopeptide transport ATP-binding protein OppD	oppA	Part of the ABC transporter complex OppABCD involved in the uptake of oligopeptides (PubMed:20808924, PubMed:38548954).	3D-structure|Peptide transport|Periplasm|Protein transport|Reference proteome|Transport
25	23	0.07%	Protein-glutamate methylesterase/protein-glutamine glutaminase	cheB1	Involved in chemotaxis.	Chemotaxis|Cytoplasm|Hydrolase|Phosphoprotein|Reference proteome
26	22	0.06%	Malonyl-[acyl-carrier protein] O-methyltransferase	—	—	—
27	21	0.06%	HTH-type transcriptional regulator	leuO	A global transcription factor.	3D-structure|Activator|DNA-binding|Reference proteome|Repressor|Transcription|Transcription regulation
28	21	0.06%	RNA polymerase sigma-H factor	rpoE	Sigma factors are initiation factors that promote the attachment of RNA polymerase (RNAP) to specific initiation sites and are then released (PubMed:2691330, PubMed:7889935, PubMed:9159522, PubMed:....	3D-structure|Cytoplasm|Direct protein sequencing|DNA-binding|Reference proteome|Sigma factor|Stress response|Transcription|Transcription regulation
29	20	0.06%	3-oxoacyl-[acyl-carrier-protein] synthase 2	—	—	—
30	20	0.06%	tRNA(fMet)-specific endonuclease VapC	—	—	—
31	20	0.06%	Protein-methionine-sulfoxide reductase catalytic subunit MsrP	msrQ	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons.	Cell inner membrane|Cell membrane|Electron transport|Flavoprotein|FMN|Heme|Iron|Membrane|Metal-binding|Reference proteome|Transmembrane|Transmembrane helix|Transport
32	20	0.06%	Protein-L-isoaspartate O-methyltransferase	PIMT2	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues.	Alternative splicing|Methyltransferase|Nucleus|Reference proteome|S-adenosyl-L-methionine|Transferase
33	19	0.05%	putative HTH-type transcriptional regulator	manR	Positively regulates the expression of the mannose operon that consists of three genes, manP, manA, and yjdF, which are responsible for the transport and utilization of mannose.	Activator|DNA-binding|Kinase|Phosphoprotein|Reference proteome|Repeat|Transcription|Transcription regulation|Transferase
34	19	0.05%	Phosphoglycolate phosphatase	gph	Specifically catalyzes the dephosphorylation of 2-phosphoglycolate (2P-Gly).	Carbohydrate metabolism|Chloride|Hydrolase|Magnesium|Metal-binding|Reference proteome
35	19	0.05%	Hydroxyacylglutathione hydrolase	HAGHL	Hydrolase acting on ester bonds.	Hydrolase|Metal-binding|Reference proteome|Zinc
36	19	0.05%	Dipeptide transport system permease protein DppB	dppB	Part of the ABC transporter DppABCDF involved in dipeptide transport (PubMed:7536291).	3D-structure|Cell inner membrane|Cell membrane|Membrane|Peptide transport|Protein transport|Reference proteome|Transmembrane|Transmembrane helix|Transport
37	18	0.05%	ATP-dependent zinc metalloprotease FtsH	ftsH	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins.	3D-structure|ATP-binding|Cell inner membrane|Cell membrane|Hydrolase|Membrane|Metal-binding|Metalloprotease|Nucleotide-binding|Protease|Reference proteome|Transmembrane|Transmembrane helix|Zinc
38	18	0.05%	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	—	—	—
39	18	0.05%	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	hcaB	Converts 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol) into 3-(2,3-dihydroxylphenyl)propanoic acid (DHPP) and 2,3-dihydroxicinnamic acid (DHCI), res....	Aromatic hydrocarbons catabolism|NAD|Oxidoreductase
40	18	0.05%	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	menH	Catalyzes a proton abstraction reaction that results in 2,5-elimination of pyruvate from 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC) and the formation of 2-succinyl-6-h....	3D-structure|Lyase|Menaquinone biosynthesis|Reference proteome
41	17	0.05%	1-deoxyxylulose-5-phosphate synthase YajO	yajO	Catalyzes the conversion of ribulose 5-phosphate (Ru5P) to 1-deoxy-D-xylulose 5-phosphate (DXP), providing a direct route from pentoses to terpenes.	Oxidoreductase|Reference proteome
42	17	0.05%	Histidinol-phosphate aminotransferase	HPA	—	Amino-acid biosynthesis|Aminotransferase|Chloroplast|Histidine biosynthesis|Plastid|Pyridoxal phosphate|Reference proteome|Transferase|Transit peptide
43	17	0.05%	HTH-type transcriptional activator RhaS	rhaS	Activates expression of the rhaBAD and rhaT operons.	Activator|Cytoplasm|DNA-binding|Reference proteome|Repeat|Rhamnose metabolism|Transcription|Transcription regulation
44	17	0.05%	Acetyl-coenzyme A synthetase	facA	—	ATP-binding|Ligase|Nucleotide-binding
45	17	0.05%	F420-dependent glucose-6-phosphate dehydrogenase	fgd	Catalyzes the coenzyme F420-dependent oxidation of glucose 6-phosphate (G6P) to 6-phosphogluconolactone.	Carbohydrate metabolism|Direct protein sequencing|Oxidoreductase|Reference proteome
46	17	0.05%	Long-chain-fatty-acid--CoA ligase	Slc27a1	Mediates the import of long-chain fatty acids (LCFA) into the cell by facilitating their transport at the plasma membrane (Probable) (PubMed:10471110, PubMed:11970897, PubMed:12235169, PubMed:15699....	Cell membrane|Cytoplasm|Fatty acid metabolism|Ligase|Lipid metabolism|Lipid transport|Membrane|Mitochondrion|Mitochondrion outer membrane|Nucleotide-binding|Reference proteome|Transmembrane|Transmembrane helix|Transport
47	16	0.05%	Glutathione transport system permease protein GsiC	gsiC	Part of the ABC transporter complex GsiABCD involved in glutathione import.	Cell inner membrane|Cell membrane|Membrane|Reference proteome|Transmembrane|Transmembrane helix|Transport
48	16	0.05%	Beta-ketoacyl-[acyl-carrier-protein] synthase III	—	—	—
49	16	0.05%	[Ribosomal protein bS18]-alanine N-acetyltransferase	—	—	—
50	16	0.05%	putative ABC transporter ATP-binding protein	artI	Part of the ABC transporter complex ArtPIQMJ involved in arginine transport.	Amino-acid transport|Direct protein sequencing|Periplasm|Reference proteome|Signal|Transport
51	16	0.05%	Linearmycin resistance ATP-binding protein LnrL	lnrL	Required for resistance to linearmycins, a family of antibiotic-specialized metabolites produced by some streptomycetes (PubMed:26647299, PubMed:28461449).	ATP-binding|Nucleotide-binding|Reference proteome|Translocase|Transport
52	16	0.05%	Riboflavin transport system permease protein RibX	ribX	Part of an ABC transporter complex that transports riboflavin into the cell.	Cell membrane|Membrane|Reference proteome|Transmembrane|Transmembrane helix|Transport
53	16	0.05%	Inosine-5'-monophosphate dehydrogenase	—	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore pl....	Alternative splicing|CBS domain|Cytoplasm|GMP biosynthesis|Metal-binding|NAD|Oxidoreductase|Potassium|Purine biosynthesis|Repeat
54	16	0.05%	Glutamate-1-semialdehyde 2,1-aminomutase	—	—	Chlorophyll biosynthesis|Chloroplast|Isomerase|Plastid|Porphyrin biosynthesis|Pyridoxal phosphate|Reference proteome|Transit peptide
55	16	0.05%	Formamidopyrimidine-DNA glycosylase	mutM	Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents.	DNA damage|DNA repair|DNA-binding|Glycosidase|Hydrolase|Lyase|Metal-binding|Multifunctional enzyme|Zinc|Zinc-finger
56	16	0.05%	TonB-dependent receptor P26	—	TonB-dependent receptor probably involved in ulvan degradation (Probable).	Cell outer membrane|Membrane|Receptor|Reference proteome|TonB box|Transmembrane|Transmembrane beta strand|Transport
57	15	0.04%	Arabinooligosaccharides transport system permease protein AraQ	araQ	Part of the ABC transporter complex AraNPQ involved in the uptake of arabinooligosaccharides (By similarity).	Cell membrane|Membrane|Reference proteome|Sugar transport|Transmembrane|Transmembrane helix|Transport
58	15	0.04%	DNA polymerase IV	dnaN	Confers DNA tethering and processivity to DNA polymerases and other proteins.	3D-structure|Alternative promoter usage|Cytoplasm|DNA replication|DNA-binding|DNA-directed DNA polymerase|Nucleotidyltransferase|Reference proteome|Transferase
59	15	0.04%	Release factor glutamine methyltransferase	prmC	Methylates the class 1 translation termination release factors RF1/PrfA and RF2/PrfB on the glutamine residue of the universally conserved GGQ motif.	3D-structure|Methyltransferase|Reference proteome|S-adenosyl-L-methionine|Transferase
60	15	0.04%	L-threonine 3-dehydrogenase	tdh	Catalyzes the NAD(+)-dependent oxidation of L-threonine to 2-amino-3-ketobutyrate.	3D-structure|Cytoplasm|Metal-binding|NAD|Oxidoreductase|Reference proteome|Zinc
61	15	0.04%	Sec-independent protein translocase protein TatA	tatA	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes.	3D-structure|Cell inner membrane|Cell membrane|Direct protein sequencing|Membrane|Protein transport|Reference proteome|Translocation|Transmembrane|Transmembrane helix|Transport
62	15	0.04%	Fatty acid oxidation complex subunit alpha	ALOX5	Catalyzes the oxygenation of arachidonate ((5Z,8Z,11Z,14Z)-eicosatetraenoate) to 5-hydroperoxyeicosatetraenoate (5-HPETE) followed by the dehydration to 5,6- epoxyeicosatetraenoate (Leukotriene A4/....	3D-structure|Alternative splicing|Calcium|Cytoplasm|Dioxygenase|Direct protein sequencing|Hydrolase|Iron|Leukotriene biosynthesis|Lipid metabolism|Membrane|Metal-binding|Nucleus|Oxidoreductase|Phosphoprotein|Proteomics identification|Reference proteome
63	15	0.04%	Beta-barrel assembly-enhancing protease	bepA	Functions both as a chaperone and a metalloprotease.	3D-structure|Hydrolase|Metal-binding|Metalloprotease|Periplasm|Protease|Reference proteome|Repeat|Signal|TPR repeat|Zinc
